platform_adi,kitle_fonlamasi_turu,kategori,fon_sekli,proje_adi,proje_sahibi,proje_sahibi_cinsiyet,kac_proje_destekledi,kac_projeye_abone,kac_projenin_sahibi,kac_proje_takiminda,konum,bolge,yil,proje_baslama_tarihi,proje_bitis_tarihi,gun_sayisi,tanitim_videosu,video_uzunlugu,gorsel_sayisi,sss,guncellemeler,yorumlar,destekci_sayisi,odul_sayisi,ekip_kisi_sayisi,web_sitesi,sosyal_medya,sm_sayisi,sm_takipci,etiket_sayisi,icerik_kelime_sayisi,proje_aciklamasi,hedef_miktari,basari_durumu
fongogo,ödül,teknoloji,ya hep ya hiç,Öğrenmenin Yeni Yolu Coucle' a Destek Ol!,Mert  Sarıca,erkek,0,0,1,0,istanbul,marmara,2020,04.11.2020,3.01.2021,60,var,19,3,10,0,0,0,3,4,var,var,4,13,5,753,"Yer, zaman farkı olmadan uygun fiyata görüntülü özel ders veya canlı kurs yöntemiyle uzman eğitmenlerden ders alınan platform.",50000,başarısız
fongogo,ödül,müzik,ya hep ya hiç,İLK PARÇAMIN PR ÇALIŞMALARI İÇİN DESTEĞE İHTİYACIM VAR.,Aygün Yılmaz,erkek,0,0,1,0,istanbul,marmara,2020,17.09.2020,17.10.2020,30,var,305,4,1,0,0,0,5,1,yok,var,1,2190,1,305,İlk parçamı ayrılmadan önce kız arkadaşıma yapmıştım. Çıkacak parçamın PR çalışmaları için maddi desteklerinize ihtiyacım var.,1000,başarısız
crowdfon,ödül,film-video-fotoğraf,ya hep ya hiç,Noctuary Kısa Film,Recep Bozgöz,erkek,0,0,1,0,belirsiz,belirsiz,2013,,,60,yok,0,1,0,0,0,6,4,1,yok,yok,0,0,0,40,Küçük bir kasabada genç bir dul olan T. mahalle baskısı yüzünden kendini dış dünyaya kapatmıştır. Yağmurl,1000,başarısız
fongogo,ödül,sağlık-güzellik,hepsi kalsın,DOĞAN KUAFÖR SALONU - KUAFÖRÜNÜ DESTEKLE,Doğan Kaşıkçıoğlu,erkek,0,0,1,0,istanbul,marmara,2020,22.04.2020,6.05.2020,14,var,49,4,0,0,0,11,4,1,yok,var,1,4488,0,130,Tüm güzellik hizmeti veren işletmeler gibi zor günlerden geçtiğimiz bu dönemde bize CANSUYU olmak sizin elinizde!,10000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,DİJİTAL BATAKLIK / KISA FİLM,Gökmen  Küçüktaşdemir,erkek,0,0,1,0,izmir,ege,2020,03.04.2020,11.06.2020,69,var,51,2,0,2,0,1,6,1,yok,yok,0,0,0,385,"Çekimleri biten Dijital Bataklık adlı kısa filmimizin, post - prodüksiyon sürecinin bitmesi ve festivallere katılmamız için fona ihtiyacımız var.",10000,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,"BİRLİKTE,  UMUTLA  2021’E KOŞALIM!..  QPERFORMANS",Q Performans Hakan Polacanlı,erkek,0,0,1,0,istanbul,marmara,2020,05.11.2020,4.01.2021,60,var,94,6,1,3,0,6,6,1,var,var,4,231,5,527,"Pandemi sürecinde stüdyo mekanımızı kapatmak, üretim ve performanslarımızı durdurmak zorunda kaldık ama umudu ve heyecanı yitirmeden; ‘birlikte' yola devam.",30000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,"""Hayat Budur - Kendini Keşfet"" İsimli İlk Kitabımın Basımı ve Yayımı",Emrah Celik,erkek,0,0,1,0,ankara,iç anadolu,2019,24.06.2019,23.08.2019,60,yok,0,2,0,0,0,4,5,1,var,var,2,373,4,1037,5 sene önce başımdan geçen beyin ameliyatı sonrasındaki Bali macerası ve kendimi keşfedişimi anlattığım Kişisel Gelişim kitabımın basım ve yayımı.,10000,başarısız
fongogo,ödül,kültür-sanat,hepsi kalsın,Üniversiteli Gençlerin Değer Katma Çabası : Dolmuş Dergi,Deniz Baran BEK,erkek,0,0,1,0,ankara,iç anadolu,2020,20.05.2020,18.08.2020,90,var,56,4,0,0,0,0,8,2,var,var,2,13300,5,542,Bilgiye Kalkan Son Dolmuş! Kaçırmayın...,15000,başarısız
fonbulucu,ödül,çevre,ya hep ya hiç,Güneş Enerjisi İle Şarj Olabilen Telefon Tablet Bilgisayar  Kılıfı,Ahmet Tarık Yıldız,erkek,0,0,1,0,genel,genel,2020,,,60,var,93,1,0,0,1,0,5,1,yok,var,1,47,0,211,Priz başında beklemeye son.,50000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,E-Ticaret Ayakkabı Satış ve Pazarlama Sistemi,Selahaddin Sıraç Girgin,erkek,0,0,1,1,belirsiz,belirsiz,2019,,24.12.2014,60,yok,0,4,0,0,0,0,3,1,yok,yok,0,0,0,110,"Kaliteli, estetik ve konforlu ayakkabıları mağaza fiyatının yarısına satacak olan e-ticaret sitesi",11000,başarısız
crowdfon,ödül,film-video-fotoğraf,ya hep ya hiç,Cedel Zombi Kısa Filmi,Fırat Konuşlu,erkek,0,0,1,0,belirsiz,belirsiz,2013,,,60,var,60,1,0,0,0,12,8,1,yok,yok,0,0,0,115,"Türünün ilk örneklerinden olan film, zombi istilasının yaşandığı bir şehirde hayatta kalmaya çalışan bir a",2501,başarılı
fongogo,ödül,spor,ya hep ya hiç,Sarı Kırmızı Mesajlaşma Uygulaması Kalkındırma Projesi,Sarı Kırmızı Mesajlaşma,erkek,0,0,1,0,izmir,ege,2019,02.05.2019,1.07.2019,60,yok,0,3,0,0,0,0,6,1,yok,var,1,2295,0,63,"Sarı Kırmızı Mesajlaşma uygulaması Galatasaraylı taraftarların birbirleriyle rahat bir şekilde konuşabilmesi, iletişime geçmeleri için oluşturulmuş mobil uygula",1000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,BU KÜÇÜK YUMURCAKLAR ÜŞÜMESİNLER,Aydın Aykanat,erkek,0,0,1,0,adana,akdeniz,2019,06.11.2019,12.11.2019,6,var,26,2,0,0,0,0,3,1,yok,yok,0,0,3,135,Kış yaklaşıyor. 9 tane yavrucak ve henüz daha çok küçükler. 1500m rakımda ki dağ köyünde barınaksız yaşıyorlar.Onların bakıma ve gıdaya ihtiyacı var.,1000,başarısız
crowdfon,ödül,çevre,ya hep ya hiç,Ceviz Ağacı Yetiştiriciliği,Sevım Özdemır,kadın,0,0,1,0,belirsiz,belirsiz,2015,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,MALATYADA BULUNAN 20.000 ARAZİYE CEVİZ DİKMEK İSTİYORUM. ELBETTEKİ HEPSİNİ DİKMEK BÜYÜK MALİYET.2015 YILI İ,50000,başarısız
fongogo,ödül,yayıncılık,hepsi kalsın,Kitap İndirim Kuponu,Menekse Polatcan Serbest,kadın,0,0,1,0,istanbul,marmara,2020,17.04.2020,16.06.2020,60,yok,0,2,0,0,0,0,5,1,var,var,4,1024,5,111,Kadıköy/Kozyatağı'nda 11 bin eser bulunan kitabevimizde 2020 sonuna kadar tüm kitaplarda geçerli indirim!,25000,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,Son Terbiyeli Primat,Tayyar Sayer,erkek,0,0,1,0,eskişehir,iç anadolu,2019,29.04.2019,28.06.2019,60,var,322,11,0,0,0,1,9,3,yok,yok,0,0,0,246,Hayal gücünün diploma ile alınamadığını göstermeye çalışan bir grup hayalperest insan.,2000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,Kisir Köyü Belgeseli,Begüm Aylin Taka,kadın,0,0,1,0,aydın,ege,2019,20.12.2019,18.02.2020,60,var,121,1,0,1,0,11,6,3,yok,yok,0,0,0,98,"Üç üniversite öğrencisi olarak biz, 1958'den bu yana radyasyon ve kanserle mücadele eden Kisir Köyü'nün gerçeklerini konu alan bir belgesel çekmeyi amaçlıyoruz.",4000,başarılı
fongogo,ödül,eğitim,ya hep ya hiç,KÖPRÜ KÖY OKULLARINA YARDIM PROJESİ,Cansu Güneş,kadın,1,0,1,0,urfa,güneydoğu,2019,18.02.2019,4.04.2019,45,var,60,10,0,0,0,41,9,4,yok,var,3,1610,5,133,"Esas ihtiyacımızın aydınlık bir nesil olduğu inancıyla çıktığımız bu yolda, Türkiye'nin dört bir yanındaki çocuklara yardım eli uzatmaya devam edeceğiz.",5000,başarılı
crowdfon,ödül,teknoloji,ya hep ya hiç,Manyetik Enerji,Aytekin Kantaş,erkek,0,0,1,0,belirsiz,belirsiz,2019,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,Bir bilgisayar fanı alıyoruz sonra bunun kablolarını 10 voltluk ampule bağlıyoruz ve fanı elimizle çeviriyoruz.V,50000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,Bir Güzel Sanatlar Lisesi Öğrencisinin Hayali: Piyano Sahibi Olmak,Fevzi Turhan,erkek,0,0,1,0,balıkesir,marmara,2020,06.05.2020,5.06.2020,30,var,69,2,0,1,0,9,5,1,yok,var,1,213,0,604,Müzik kariyerimin başlarındayım ve hayallerimi gerçekleştireceğim bu yoldaki engellerden birisi olan piyano eksikliğini gidermeye çalışıyorum.,2000,başarısız
fonbulucu,ödül,teknoloji,ya hep ya hiç,STAT ile Zero-G Uçuşunu Deneyimle!,STAT COSMOS,belirsiz,0,0,1,0,istanbul,marmara,2019,,,60,var,374,7,0,0,1,1,8,5,var,var,2,421,0,186,"Sadece 3 günlük bir Uzay Seyahati için 20 milyon doların üzerinde bütçe harcamanız gerekiyor. O kadar bütçem olsa ... diyorsanız, Zero-G ile bu deneyimini 9 km yükseklikte, LI-76 MDK uçağı ile fiziken deneyimleyebilirsiniz!",138000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,Otostop,Sinan Bal,erkek,0,0,1,0,elazığ,doğu,2018,16.05.2018,15.07.2018,60,yok,0,2,0,0,0,0,9,1,yok,var,2,138,0,410,"Öğrencilikten fırsat bulup gezmeye çıkan Sinan, parası olmadığı için otostop yöntemini kullanır ve bir araba Sinan'ı alır.  peki şoför güvenilir mi yada Sinan",7000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,Benim Size; Çocukların da Bize İhtiyacı Var,Ufuk Tan Keleş,erkek,4,0,1,0,adana,akdeniz,2015,24.02.2015,25.04.2015,60,var,76,37,0,2,0,92,10,6,var,var,2,842,0,378,"Tüm çocuklar eşit haklarla doğar ve aynı dilde gülümser.
Haydi el birliğiyle çocukları birlikte gülümsetelim!",10000,başarılı
fongogo,ödül,diğer,hepsi kalsın,Bir Tebessüm İçin Uşak'a gidiyor,Osman Dündar,erkek,0,0,2,0,uşak,ege,2019,12.12.2019,1.01.2020,20,var,276,7,0,0,0,5,5,1,var,var,3,149,5,382,"Bir Tebessüm İçin Derneği, toplumsal kutuplaşma ile mücadele adına 'Hayalperest Anadolu' projesi ile kentli gençler ile kırsaldaki halkı bir araya getiriyor.",2000,başarısız
fonbulucu,ödül,kültür-sanat,ya hep ya hiç,BOOK OF VERSES - Metal single çalışması,D E,erkek,0,0,2,0,mersin,akdeniz,2018,,,60,yok,0,2,0,0,1,2,5,1,yok,yok,0,0,0,93,Yaşamın ve ölümün sesini Metalle buluşturacağım..,2550,başarısız
fongogo,ödül,teknoloji,ya hep ya hiç,ENİGMATESH - BLACK WOLF,Orhan Salih Sevindik,erkek,0,0,1,0,samsun,karadeniz,2019,25.07.2019,23.09.2019,60,yok,0,16,0,0,0,0,9,1,yok,yok,0,0,5,447,TÜRK OYUN TARİHİNDE BİR İLK - (MATİON CAPTURE TECHNOLOGY),11000,başarısız
crowdfon,ödül,çevre,ya hep ya hiç,Doğaya Sahip Çıkalım.,Dinçer Gürsoy,erkek,0,0,1,0,belirsiz,belirsiz,2018,,,60,yok,0,1,0,0,0,7,4,1,yok,yok,0,0,0,115,Şuanda Ordu ilinde bulunan 20 dönüm arazimiz üzerinde bir besicilik işletmemiz var. Büyük baş hayvanlarımız ve,100000,başarısız
fonbulucu,ödül,müzik,ya hep ya hiç,''VEDA GECESİ'' Single ve Klip Çalışması,Erdoğan Şimşek,erkek,3,0,1,0,genel,genel,2020,,,60,var,199,8,0,0,0,42,6,1,yok,var,3,117250,0,155,Usta Şair Yusuf Hayaloğlu'nun daha önce bestelenmemiş olan ''Veda Gecesi'' şiirini besteledim ve bir single çıkartmak istiyorum.,10000,başarılı
fongogo,ödül,sağlık-güzellik,hepsi kalsın,Merve Tutar Güzellik & Estetik - GÜZELLİK SALONUNU DESTEKLE,Merve  Tutar,kadın,0,0,1,0,konya,iç anadolu,2020,28.04.2020,12.05.2020,14,var,49,4,0,0,0,1,4,1,yok,var,1,17000,0,134,Tüm güzellik hizmeti veren işletmeler gibi zor günlerden geçtiğimiz bu dönemde bize CANSUYU olmak sizin elinizde!,15000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,Dokunsu su tasarruf aparatı,Kadir Kaya,erkek,0,0,1,0,samsun,karadeniz,2018,06.12.2018,4.02.2019,60,var,230,4,0,0,0,10,6,1,yok,yok,0,0,5,176,Projemin amacı gelecekte yaşayacağımız ve şimdilerde de hissettiğimiz su sıkıntılarını önlemek.,30000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,"""Kurşun Harfler"" - Kısa Film",Devran B,erkek,0,0,1,0,istanbul,marmara,2018,30.10.2018,29.11.2018,30,yok,0,0,0,0,0,8,5,2,yok,yok,0,0,0,58,"Bir cumartesi akşamının ortasından bir kesit. Neşe ve eşi Ahmet, Meral ve eşi Ercüment intihar, aşk ve sadakat üzerine tartışmaktadırlar...",5000,başarısız
crowdfon,ödül,kültür-sanat,ya hep ya hiç,Tuzdan Sağlıklı Sanatsal Rölyefler,Necmettin Türkoğlu,erkek,0,0,1,0,belirsiz,belirsiz,2013,,,60,yok,0,1,0,0,0,2,4,1,yok,yok,0,0,0,40,Tuzdan sağlıklı sanatsal rölyefler,50000,başarısız
fongogo,ödül,diğer,hepsi kalsın,Mahallenin ilk Tasarım Kafesi Mavra’ya destek ol !,Yonca Akcay,kadın,1,0,1,0,istanbul,marmara,2020,4.05.2020,3.07.2020,60,var,181,1,0,0,0,50,8,1,yok,var,2,1578,4,407,"Bu zor günlerde, personel maaş ve diğer giderlerimizi karşılamak için  ikram kuponları sunuyoruz. Bu kuponlar 2021 yıl sonuna kadar geçerli olacaktır.",50000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,Pırıltı Parlasın,Hacer Itır Övül,kadın,1,0,1,0,istanbul,marmara,2017,23.02.2017,2.05.2017,68,var,192,8,0,1,0,68,9,6,yok,yok,0,0,0,432,Pırıltı 7 yaşında otizmli bir kız çocuğu. Onun tek ilacı aldığı özel eğitim. Ama maddi imkansızlıklar yüzünden yarıda kesilme tehlikesi altında...,12000,başarılı
fonbulucu,ödül,kültür-sanat,ya hep ya hiç,Gelincik Kırmızı Film,Özlem Özel,kadın,0,0,1,0,afyon,ege,2018,,,60,var,88,2,0,0,1,1,6,1,yok,var,1,553,0,329,"Doksanlı yıllarda küçük bir Anadolu ilçesinde geçen, özlemini duyduğumuz doksanlı yıllara ait kültürel değerleri ve insanları gösteren bir film projesi.",7000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,KediliShop.net,Melike Kavcıoğlu,kadın,0,0,1,0,istanbul,marmara,2014,01.12.2014,30.01.2015,60,yok,0,12,0,0,0,0,6,1,var,yok,0,0,0,299,"KediliShop- Gelirlerinin hayvan barınakları ve bakımlarına bağışlanacağı, hem alışveriş  hem de mama bağışı yapabileceğiniz alışveriş sitesidir.",5000,başarısız
fongogo,ödül,sağlık-güzellik,ya hep ya hiç,DMD hastası Canberk ile birlikte yürü,Canberk Sağnak,erkek,0,0,6,0,ankara,iç anadolu,2019,13.06.2019,25.06.2019,12,var,60,2,0,3,0,97,6,9,yok,var,2,3600,0,750,"destekler sayesinde, ilk ödemesini yapabildiğim özel donanımlı akülü sandalyemin 2.ödemesi için destek olup güçsüzleşen kaslarıma güç olabilmek""""",48000,başarılı
fongogo,ödül,diğer,ya hep ya hiç,Koleksiyon Sayısı,10Sayfa Ekibi,belirsiz,0,0,1,0,istanbul,marmara,2015,30.09.2015,29.11.2015,60,yok,0,22,0,0,0,43,9,4,yok,var,2,101,0,345,18 ayda şahane içerikler üretip dijital dünyaya ücretsiz olarak sunduk. Şimdi hepsini tek bir basılı sayıda topluyoruz. Ve senin desteğine ihtiyacımız var.,25000,başarısız
fonbulucu,ödül,sağlık-güzellik,ya hep ya hiç,"Bağımlıyım ama Değişiyorum, Sağlıklı Kalıyorum",Berna İncu,kadın,0,0,1,0,antalya,akdeniz,2020,,,60,yok,0,2,0,0,0,1,8,1,yok,yok,0,0,0,597,"Anne babaların gözyaşlarını, çocukların gençlerin pişmanlıklarını yok etmek; kaybettiklerini sandıkları mutlulukları onlara tekrar verip gülümsemelerini sağlayacak yolda onlara uzanan bir el.",50000,başarısız
buluşum,ödül,eğitim,ya hep ya hiç,SoruSana: Fırsat Eşitliğini Destekleyen Uygulama!,Cenk Sezgin,erkek,0,0,1,0,belirsiz,belirsiz,2017,,,60,yok,0,1,0,0,0,50,1,1,yok,yok,0,0,0,221,Üniversiteye Hazırlıkta Paylaşımcı Model: SoruSana ile dilediğin her an her yerde destek yanında!,50000,başarılı
fongogo,ödül,kültür-sanat,ya hep ya hiç,Tunca Çaylant'ın İlk Uzun Metraj Şiir Kitabı,Tunca Çaylant,erkek,4,0,1,0,antalya,akdeniz,2014,21.11.2014,6.12.2014,15,var,60,0,0,2,0,72,3,1,yok,yok,0,0,0,330,İlk şiir kitabımın Yasakmeyve Yayınları'ndan çıkabilmesi için gerekli olan maddi kaynak konusunda desteklerinizi rica ediyorum.,3500,başarılı
fongogo,ödül,kültür-sanat,ya hep ya hiç,TEFERRUART SANAT MERKEZİ AÇMAK İSTİYORUM,Aleyna Çevik,kadın,0,0,1,0,istanbul,marmara,2020,22.10.2020,21.12.2020,60,var,288,2,1,0,0,0,9,1,yok,var,2,1026,0,635,Yenilikçi sanat fikirleri ve sosyal projelerin gelişimine sende destek ver.,50000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,''Kiracı'' Kısa Film Projesi / ''Tenant'' Short Film Project,Berkay Hasbay,erkek,0,0,1,0,izmir,ege,2018,13.02.2018,15.03.2018,30,yok,0,13,0,0,0,7,9,2,var,var,3,50,5,875,TEL filmiyle yaptığımız gibi ''KİRACI'' isimli filmimizle de Türk sinemasını dünyadaki uluslararası festivallerde başarıyla temsil etmeyi umuyoruz.,8000,başarısız
crowdfon,ödül,tasarım,ya hep ya hiç,Smart Counch,Çiğdem Gün,kadın,0,0,1,0,belirsiz,belirsiz,2011,,,60,yok,0,4,0,0,0,5,7,1,yok,yok,0,0,0,32,Çok pratik bir ürün;  ayakkabıyı çizme formuna çeviriyor ve istediğiniz zamanda tekrardan çıkartılabiliyor. T,5000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,Yeşil Paket,Samet Aksuoğlu,erkek,0,0,1,0,izmir,ege,2020,17.12.2020,6.01.2021,20,var,24,0,2,0,0,0,6,1,yok,var,4,324,0,326,"Bizim bu projedeki amacımız, hem ulaşımı hem de yaşamı kolaylaştıran sürdürülebilir ve çevreci bir gönderi sistemini tüm Türkiye çapında kurmak.",3000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,CYBERPUNK KISA FİLM: RECKONING,Melisa Kavsak,kadın,0,0,1,0,istanbul,marmara,2018,27.02.2018,3.04.2018,35,yok,0,3,0,0,0,43,9,4,yok,yok,0,0,5,363,"Cyberpunk, Tech-Noir türünde kısa film""",6000,başarılı
fongogo,ödül,kültür-sanat,ya hep ya hiç,Altın Boğa Kısa Film Festivali,Iel Sinema,belirsiz,0,0,1,0,ağrı,doğu,2015,08.04.2015,7.06.2015,60,yok,0,16,0,0,0,2,9,1,var,var,2,1549,0,515,"12 yıl önce ''Türk Sineması'nın Geleceği Aranıyor'' sloganıyla çıktığımız bu yolda, bu geleceği sizlerle beraber bulmanın haklı gururunu yaşamak istiyoruz!",25000,başarısız
fongogo,ödül,diğer,hepsi kalsın,Bir Tebessüm İçin Karabük-Zonguldak'a Gidiyor,Osman Dündar,erkek,0,0,2,0,karabük,karadeniz,2019,14.10.2019,31.10.2019,17,var,276,16,0,0,0,7,6,1,var,var,3,149,0,378,İstanbullu gençlerle Anadolu halkını bir araya getiren sosyal fayda içerikli projelerle kent-köy kutuplaşmasıyla mücadele etmek.,3000,başarısız
fonbulucu,ödül,çevre,ya hep ya hiç,Enerji Çözümleri İçin Sinerji,Atilla Öztürk,erkek,1,0,2,0,istanbul,marmara,2018,,,60,var,52,5,0,0,0,1,5,1,yok,var,1,500,0,702,Yenilenebilir enerji endüstrisinin geleceğini şekillendirmeye aday inovasyon için alfa prototip oluşturmak ilk adımımız olacaktır.,500000,başarısız
arıkovanı,ödül,teknoloji,ya hep ya hiç,Smart Mimic | Akıllı Alarm Sistemi,Paperback Teknoloji,belirsiz,0,0,1,0,belirsiz,belirsiz,2016,,,60,var,80,5,0,7,36,86,1,3,yok,yok,0,0,0,267,Smart Mimic' e sadece telefonunuz ile bağlanmanız yeterli. Uygulamanın içerisindeki onlarca profilden biriyle hayatınızı kolaylaştırabilirsiniz.,100000,başarılı
fongogo,ödül,kültür-sanat,ya hep ya hiç,Doktora programımda kullanacağım malzemeleri temin etmek için gerekli,Serkan Tok,erkek,0,0,1,0,eskişehir,iç anadolu,2019,07.08.2019,6.10.2019,60,var,273,3,0,0,0,2,7,1,yok,var,2,1805,0,732,Doktora programı için kaynaklara ve kullanacağım mekanik elektronik malzemenin teminatı için kullanacağım.,5000,başarısız
fonbulucu,ödül,teknoloji,ya hep ya hiç,Deprem Bilinçlendirme,Fatih Yıldırım,erkek,0,0,1,0,istanbul,marmara,2020,,,60,yok,0,2,0,0,0,0,4,1,yok,yok,0,0,0,480,Hayat kurtaran saniyeler,20000,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,Yeni Heykel Projelerim İçin Desteğinize İhtiyacım Var,Ömer Faruk ALPAY,erkek,0,0,1,0,istanbul,marmara,2018,15.11.2018,14.01.2019,60,var,205,4,0,0,0,0,6,1,yok,yok,0,0,5,197,Katılacağım karma sergiler için malzeme ve ekipman bütçesine ihtiyacım var. Desteklerinizi bekliyorum...,5000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,GELİNCİK FİLMİ,Şükrü Üçpınar,erkek,0,0,1,0,istanbul,marmara,2020,02.06.2020,22.07.2020,50,var,50,0,0,0,0,11,9,3,yok,var,3,55,1,540,"Görevinden ayrılan genç bir polis, kızını beklediği orman evinde tuhaf bir adamla karşılaşır ve geçmişiyle ilgili büyük bir hesaplaşma başlar.",50000,başarısız
buluşum,ödül,kültür-sanat,ya hep ya hiç,Ustamdan,Gökçe Gülcüler,kadın,0,0,1,0,belirsiz,belirsiz,2017,,,60,yok,0,1,0,0,0,35,1,1,yok,yok,0,0,0,219,Türkiye’de zanaatı ve zanaatkarı kucaklayan proje! Bin yıllık usta ellerin hikayeleri kısa film serisine hazırlanıyor!,35000,başarılı
crowdfon,ödül,çevre,ya hep ya hiç,Organik Tavuk Çiftliği,Oğuz Yılmaz,erkek,0,0,1,0,belirsiz,belirsiz,2015,,,60,yok,0,1,0,0,0,4,4,1,yok,yok,0,0,0,115,İstanbul Silivri Bölgesinde  Araucanas Cinsi Tavuk yetiştiriciliği yapmak istiyorum. Desteklerinizi Bekliyoruz.,50000,başarısız
crowdfon,ödül,teknoloji,ya hep ya hiç,Project Greenagent,Göktuğ Serdar,erkek,0,0,1,0,belirsiz,belirsiz,2015,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,"Bilkent Üniversitesi'nde bitirme projemiz olarak geliştirmeye başladığımız GreenAgent, NASA SpaceApps 2014 etkinl",50000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,World Of Wars Uzay Online Strateji Oyunu,Enes Vatan,erkek,0,0,1,0,tekirdağ,marmara,2020,09.09.2020,9.10.2020,30,var,160,26,1,2,0,0,4,2,yok,var,1,52,5,407,Oyun Hikayesi insan oğlunun medeniyetin üst düzeylerine çıkarak büyük bir savaşa girer ve 4 seçkin ırk vardır. Evrenin kaderini sizlerin elinizde olacak.,30000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,YEŞİLÇAM BELGESELİ,burak çelik,erkek,0,0,1,0,denizli,ege,2018,19.03.2018,18.04.2018,30,var,91,5,0,0,0,1,9,1,yok,var,2,4317,5,238,"Yönetmenliğini genç yönetmen Burak ÇELİK 'in yaptığı Türk sinemasına damga vurmuş Bir çok usta sanatçı,film yapımcıları,senarist,yönetmenin yer aldığı belgesel",20000,başarısız
crowdfon,ödül,diğer,ya hep ya hiç,Evlilik,Uğur Çöpoğlu,erkek,0,0,1,0,belirsiz,belirsiz,2021,,,60,yok,0,0,0,0,0,0,1,1,yok,yok,0,0,0,44,23 yaşındayım Ordu'da yaşıyorum babam engelli sol kolu çalışmıyor annem ev hanımı onlara ben bakıyorum Ağus,125000,başarısız
crowdfon,ödül,yayıncılık,ya hep ya hiç,"Kitabımın Basılıp, Yayınlanması İçin Desteğinize İhtiyacım Var",Damla Nayır,kadın,0,0,1,0,belirsiz,belirsiz,2015,,,60,yok,0,1,0,0,0,0,4,1,yok,yok,0,0,0,115,Alma nefesimi eğer hakkını veremeyeceksen! Öpme mesela hiçbir güzeli eğer dudakları şişene kadar emmeyeceksen.,50000,başarısız
arıkovanı,ödül,teknoloji,ya hep ya hiç,Lella Kids - Psikolog Onaylı Çocuk Video Uygulaması,Selen Koç,kadın,0,0,1,0,belirsiz,belirsiz,2018,,,60,var,125,9,0,4,2,188,7,6,yok,yok,0,0,0,382,Bugu?n dijital du?nyanın bu kadar yas?amımıza girmesiyle birlikte c?ocukların ellerinden yeni s?eyler o?g?renebileceg?i kaynag?ı almak yerine onlara gu?venli bir ortam sunmak daha o?nemli,100000,başarılı
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,"Aşk, Ölüm ve Domatesler",Tuğba Erdem,kadın,0,0,1,0,istanbul,marmara,2019,21.06.2019,26.07.2019,35,var,50,0,0,0,0,8,9,2,yok,var,2,119,5,298,"Ölmekte olan bir adam ve karısı, bir Amerikan restoranında beraber intihar etmeye karar verirler.",12000,başarısız
fonbulucu,ödül,teknoloji,ya hep ya hiç,Kablosuz Şarj Masası,Serdar Sertgöz,erkek,0,0,1,0,genel,genel,2018,,,60,yok,0,2,0,0,0,0,7,1,yok,yok,0,0,0,115,Telefon ve tabletlerinizi kablosuz bir şekilde şarj etmemize yarayan bir masa veya komidin istemez misiniz?,15000,başarısız
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,Karşıdaki / Kısa Film,Şiyar Baran Sakık,erkek,0,0,1,0,istanbul,marmara,2020,27.08.2020,27.08.2020,0,yok,0,1,0,0,0,3,7,2,yok,var,2,110,5,493,"Yolda yürürken karşıdan gelen biriyle tam çarpışmak üzereyken, omzunu geri çeken Engin, aşağılık kompleksine girer ve intikam almak için düelloya hazırlanır.",22000,başarısız
crowdfon,ödül,çevre,ya hep ya hiç,Sürdürülebilir Kentsel Donatı Elemanları,Sinan Düman,erkek,0,0,1,0,belirsiz,belirsiz,2020,,,60,var,17,1,0,0,0,0,1,1,yok,yok,0,0,0,256,Doğadan uzaklaştığımız şu dönemde insanları kent içerisinde dahi doğaya yakın hissettirmek üzere bir kent d,100000,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,Kitabın İngilizceye Çevrilmesi,Sertaç Aydoğan Musoski,erkek,0,0,2,0,izmir,ege,2019,16.12.2019,14.02.2020,60,var,51,10,0,0,0,0,9,1,yok,var,2,126,0,265,"Kasım 2018'de yayınlanan kitabımın, yurt dışına açılma amacıyla İngilizceye çevrilmesi için desteklerinizi bekliyorum.",12000,başarısız
